ident,iata_code,type,name,iso_country,latitude_deg,longitude_deg,elevation_ft,runway_count,max_runway,avg_runway
ZHXF,XFN,medium_airport,Xiangyang Liuji Airport,CN,32.152222,112.291666,234.0,1,8530.0,8530.0
ZHYC,YIH,medium_airport,Yichang Sanxia Airport,CN,30.554132,111.482563,673.0,1,8530.0,8530.0
ZJHK,HAK,large_airport,Haikou Meilan International Airport,CN,19.9349,110.459,75.0,2,11811.0,11811.0
ZJQH,BAR,medium_airport,Qionghai Bo'ao Airport,CN,19.140951,110.452766,30.0,1,10499.0,10499.0
ZJSY,SYX,large_airport,Sanya Phoenix International Airport,CN,18.3029,109.412003,92.0,1,11155.0,11155.0
ZKPY,FNJ,medium_airport,Pyongyang Sunan International Airport,KP,39.224098,125.669998,117.0,2,12475.0,11982.5
ZLDH,DNH,medium_airport,Dunhuang Mogao International Airport,CN,40.161098,94.809196,,1,9186.0,9186.0
ZLGM,GOQ,medium_airport,Golmud Airport,CN,36.4006,94.786102,9334.0,1,15748.0,15748.0
ZLGY,GYU,medium_airport,Guyuan Liupanshan Airport,CN,36.078889,106.216944,5696.0,1,9186.0,9186.0
ZLHX,HTT,medium_airport,Huatugou Airport,CN,38.201645,90.837843,2945.0,1,11811.0,11811.0
ZLIC,INC,medium_airport,Yinchuan Hedong International Airport,CN,38.322758,106.393214,,1,10499.0,10499.0
ZLJN,JNG,medium_airport,Jining Qufu Airport,CN,35.292778,116.346667,134.0,1,9186.0,9186.0
ZLLL,LHW,large_airport,Lanzhou Zhongchuan International Airport,CN,36.515202,103.620003,6388.0,1,11811.0,11811.0
ZLLN,LNL,medium_airport,Longnan Chengzhou Airport,CN,33.789918,105.790014,3707.0,1,9186.0,9186.0
ZLQY,IQN,medium_airport,Qingyang Xifeng Airport,CN,35.802638,107.598896,,1,8530.0,8530.0
ZLXH,GXH,medium_airport,Gannan Xiahe Airport,CN,34.819014,102.622261,10510.0,1,10499.0,10499.0
ZLXN,XNN,medium_airport,Xining Caojiabao International Airport,CN,36.528295,102.040157,7119.0,1,12467.0,12467.0
ZLXY,XIY,large_airport,Xi'an Xianyang International Airport,CN,34.447102,108.751999,1572.0,2,12467.0,11155.0
ZLZW,ZHY,medium_airport,Zhongwei Shapotou Airport,CN,37.573125,105.154454,8202.0,1,9186.0,9186.0
ZMAH,AVK,medium_airport,Arvaikheer Airport,MN,46.250301361083984,102.802001953125,5932.0,1,7546.0,7546.0
ZMAT,LTI,medium_airport,Altai Airport,MN,46.37639999389648,96.22109985351562,7260.0,1,7513.0,7513.0
ZMBH,BYN,medium_airport,Bayankhongor Airport,MN,46.16329956054688,100.7040023803711,6085.0,2,9186.0,8037.5
ZMBN,UGA,medium_airport,Bulgan Airport,MN,48.85499954223633,103.47599792480467,4311.0,1,6234.0,6234.0
ZMBU,UUN,medium_airport,Baruun Urt Airport,MN,46.660301208496094,113.28500366210938,3205.0,1,7217.0,7217.0
