id,airport_ref,ident,length_ft,width_ft,runway_count,max_runway
243936,21270,KU69,5800.0,60.0,2,5800.0
243148,21271,KU70,4300.0,60.0,1,4300.0
243523,21272,KU76,5000.0,75.0,1,5000.0
244439,21273,KU77,5700.0,100.0,1,5700.0
243805,21274,KU78,2500.0,50.0,2,3500.0
243806,21274,KU78,3500.0,50.0,2,3500.0
239917,21275,KU79,4100.0,200.0,2,4100.0
239918,21275,KU79,2700.0,140.0,2,4100.0
239919,21276,KU81,4550.0,90.0,1,4550.0
245081,21277,KU82,3600.0,50.0,1,3600.0
241533,21278,KU89,3050.0,60.0,1,3050.0
245112,21279,KU96,5700.0,60.0,1,5700.0
244578,21280,KUAO,5004.0,100.0,1,5004.0
240700,21281,KUBE,4050.0,75.0,2,4050.0
240701,21281,KUBE,2000.0,120.0,2,4050.0
245452,21282,KUBS,4500.0,100.0,1,4500.0
240259,21283,KUBX,3420.0,60.0,1,3420.0
244182,3939,KUCA,5399.0,150.0,2,6002.0
244183,3939,KUCA,6002.0,150.0,2,6002.0
240717,21284,KUCP,4000.0,75.0,2,4000.0
240718,21284,KUCP,2850.0,100.0,2,4000.0
239886,21285,KUCY,5000.0,100.0,1,5000.0
244890,21286,KUDD,5002.0,70.0,1,5002.0
244011,21287,KUDG,5500.0,100.0,3,5500.0
244012,21287,KUDG,4947.0,150.0,3,5500.0
244013,21287,KUDG,4751.0,150.0,3,5500.0
241511,21288,KUES,5848.0,100.0,2,5848.0
241512,21288,KUES,3598.0,75.0,2,5848.0
245220,21289,KUGN,6000.0,150.0,2,6000.0
245221,21289,KUGN,3751.0,75.0,2,6000.0
244506,21290,KUIL,4210.0,100.0,1,4210.0
245431,3940,KUIN,7098.0,150.0,3,7098.0
245432,3940,KUIN,5125.0,150.0,3,7098.0
245433,3940,KUIN,5399.0,150.0,3,7098.0
241254,21291,KUKF,6200.0,100.0,1,6200.0
241489,3941,KUKI,4415.0,150.0,1,4415.0
245974,21292,KUKL,5500.0,75.0,1,5500.0
245060,21293,KUKT,3201.0,50.0,1,3201.0
240607,21294,KULM,2825.0,160.0,2,4401.0
240608,21294,KULM,4401.0,75.0,2,4401.0
241989,21295,KULS,4600.0,60.0,2,6000.0
241990,21295,KULS,6000.0,100.0,2,6000.0
242908,21296,KUMP,3850.0,100.0,1,3850.0
242355,21297,KUNI,5600.0,100.0,1,5600.0
245971,21298,KUNO,5102.0,75.0,1,5102.0
244219,21299,KUNU,4027.0,75.0,2,5060.0
244220,21299,KUNU,5060.0,100.0,2,5060.0
243589,21300,KUNV,6701.0,150.0,1,6701.0
241285,21301,KUOS,3699.0,50.0,1,3699.0
241952,3942,KUOX,5600.0,100.0,1,5600.0
313570,313569,KUP,3200.0,,1,3200.0
239728,21302,KUSE,3882.0,75.0,2,3882.0
239729,21302,KUSE,2117.0,75.0,2,3882.0
245692,21303,KUTA,7000.0,150.0,1,7000.0
246015,21304,KUTS,5006.0,100.0,1,5006.0
240621,21305,KUUU,2999.0,75.0,2,2999.0
240622,21305,KUUU,2623.0,75.0,2,2999.0
242730,21306,KUUV,4500.0,75.0,1,4500.0
240295,21307,KUVA,5255.0,100.0,1,5255.0
242935,21308,KUWL,4002.0,65.0,1,4002.0
313568,302386,KUX,1640.0,,1,1640.0
255014,25332,KUXL,5001.0,75.0,1,5001.0
241842,21309,KUYF,4001.0,75.0,1,4001.0
244342,21310,KUZA,5500.0,100.0,1,5500.0
242109,3943,KVAD,9300.0,150.0,2,9300.0
242108,3943,KVAD,8000.0,150.0,2,9300.0
241112,21311,KVAY,3911.0,50.0,1,3911.0
245123,3944,KVBG,15000.0,200.0,1,15000.0
243520,21312,KVBT,4082.0,65.0,1,4082.0
243982,21314,KVCB,4700.0,75.0,1,4700.0
242952,3945,KVCT,4200.0,75.0,4,9101.0
242954,3945,KVCT,9101.0,150.0,4,9101.0
242953,3945,KVCT,4643.0,150.0,4,9101.0
242955,3945,KVCT,4899.0,150.0,4,9101.0
241864,21315,KVCV,9138.0,150.0,2,15050.0
241865,21315,KVCV,15050.0,150.0,2,15050.0
241352,21316,KVDF,5000.0,100.0,2,5000.0
241353,21316,KVDF,3259.0,75.0,2,5000.0
241744,21317,KVDI,6003.0,100.0,2,6003.0
241745,21317,KVDI,5000.0,150.0,2,6003.0
243091,21318,KVEL,4108.0,60.0,2,7000.0
243092,21318,KVEL,7000.0,100.0,2,7000.0
241132,21319,KVER,3999.0,75.0,1,3999.0
244955,21320,KVES,4512.0,75.0,1,4512.0
241601,20008,KVGC,5000.0,75.0,1,5000.0
242744,21321,KVGT,5004.0,75.0,3,5004.0
242746,21321,KVGT,4202.0,75.0,3,5004.0
242745,21321,KVGT,5000.0,75.0,3,5004.0
245719,21322,KVHN,6000.0,75.0,2,6000.0
245720,21322,KVHN,5353.0,75.0,2,6000.0
242325,21323,KVIH,5500.0,100.0,3,5500.0
242325,21323,KVIH,5500.0,100.0,3,5500.0
242326,21323,KVIH,5500.0,100.0,3,5500.0
242326,21323,KVIH,5500.0,100.0,3,5500.0
242327,21323,KVIH,5000.0,75.0,3,5500.0
242327,21323,KVIH,5000.0,75.0,3,5500.0
244128,21324,KVIQ,3400.0,60.0,1,3400.0
241477,21325,KVIS,6559.0,150.0,1,6559.0
245551,21326,KVJI,4471.0,75.0,1,4471.0
240251,21327,KVKS,5000.0,100.0,1,5000.0
241818,21328,KVLA,3001.0,75.0,2,3752.0
241819,21328,KVLA,3752.0,100.0,2,3752.0
243590,3946,KVLD,5598.0,100.0,3,8002.0
243591,3946,KVLD,3636.0,75.0,3,8002.0
243592,3946,KVLD,8002.0,150.0,3,8002.0
242754,21329,KVLL,3550.0,60.0,1,3550.0
243834,21330,KVMR,4105.0,75.0,1,4105.0
242761,21331,KVNC,5000.0,150.0,3,5000.0
242761,21331,KVNC,5000.0,150.0,3,5000.0
242762,21331,KVNC,5000.0,150.0,3,5000.0
242762,21331,KVNC,5000.0,150.0,3,5000.0
242763,21331,KVNC,4999.0,150.0,3,5000.0
242763,21331,KVNC,4999.0,150.0,3,5000.0
