id,airport_ref,ident,length_ft,width_ft
264245,45316,08CN,50,50
251459,6969,08CO,2600,75
247428,6970,08CT,4700,1400
247914,6971,08F,2584,80
253784,6972,08FA,3390,75
256091,6973,08FD,4138,104
249206,6974,08FL,2500,100
269474,6975,08G,60,56
247944,6976,08GA,5000,150
247959,6977,08ID,2500,60
265129,6978,08II,30,30
256801,6979,08IL,2200,75
264168,45416,08IN,5000,1600
252718,6980,08IS,1320,70
249801,6981,08KS,2700,99
506092,334339,08KT,40,40
251916,6982,08KY,2500,60
265130,6983,08LA,30,15
253307,6984,08LL,2190,100
250625,6985,08LS,2000,60
248052,6986,08MA,1000,18
265131,6987,08MD,45,45
251307,6988,08ME,2300,90
265132,6989,08MI,60,60
255433,6990,08MN,11088,6000
254746,6991,08MO,2640,50
254747,6991,08MO,2140,48
240690,6992,08MS,3725,50
249901,6993,08MT,2600,80
252026,6994,08N,2635,120
252690,6995,08NC,3200,50
256033,6996,08ND,1300,75
255528,6997,08NE,3000,100
269475,6998,08NH,80,80
269476,6999,08NJ,90,90
345571,345570,08NR,1400,40
247873,7000,08NY,550,60
247874,7000,08NY,500,40
251440,7001,08OH,3000,50
248523,7002,08OK,1800,50
327862,327859,08OL,1029,40
255790,7003,08OR,2800,20
269477,7004,08PA,200,150
269478,7005,08PN,50,50
255617,7006,08R,2129,30
345366,345365,08SD,42,42
269479,7007,08TA,200,100
241351,7008,08TE,3100,50
343407,343404,08TT,2015,75
257722,7010,08TX,2100,30
257723,7010,08TX,1800,100
249615,7011,08U,3600,50
248952,7012,08VA,1800,50
269480,7013,08WA,100,100
251207,7015,08XS,2350,100
329059,329058,09AA,22,24
264097,45270,09AK,1300,60
265133,7016,09AR,135,100
246691,7017,09AZ,2350,80
265134,7018,09CA,65,65
241029,7019,09CL,3000,50
269481,45317,09CN,50,50
256087,7020,09CO,3250,65
240175,7021,09FA,4800,50
252936,7022,09FD,2649,100
250951,7023,09FL,3000,150
256213,7024,09GA,2400,70
253584,7025,09I,5000,1000
253585,7025,09I,5000,1000
255318,7026,09IA,2700,80
248783,7027,09ID,2300,100
253215,7028,09II,1600,100
265135,7029,09IL,40,40
249554,7030,09IN,2200,70
249555,7030,09IN,2200,50
265136,7031,09IS,39,31
255422,7032,09KS,2500,60
265137,7033,09KY,50,50
265138,7034,09LA,50,50
248621,7035,09LL,2300,80
265139,7036,09LS,40,40
254362,7037,09MA,1700,50
254363,7037,09MA,2000,100
251828,7038,09ME,2000,100
265140,7039,09MI,40,40
256564,7041,09MO,1320,50
252352,7042,09N,1863,75
254270,7043,09NC,2400,80
247511,7044,09NE,2500,50
269482,7045,09NJ,100,100
324844,324843,09NR,1800,35
324845,324843,09NR,24,24
324846,324843,09NR,24,24
269483,7046,09NY,100,100
249387,7047,09OK,2500,50
269484,7048,09OR,50,50
247110,7049,09PA,2300,200
253546,7051,09S,1765,150
246461,14580,09TA,2400,40
253777,7052,09TE,2815,45
269485,7053,09TN,80,80
244478,7054,09TS,4200,42
258106,7055,09TX,2340,120
258107,7055,09TX,1220,120
258108,7055,09TX,5200,120
255807,7056,09VA,1100,50
269486,7057,09VG,96,60
265141,7058,09W,60,60
269487,7059,09WA,60,60
248295,7060,09WI,2500,100
269488,7061,09XS,90,90
256247,7062,09Y,8000,500
325324,325323,0AA7,2539,100
247079,7063,0AK,2541,55
251693,7064,0AK0,1050,70
255835,7065,0AK1,3000,2000
255836,7065,0AK1,2200,50
264070,45273,0AK2,1000,150
248626,7066,0AK3,900,100
255362,7067,0AK5,1550,120
253702,7068,0AK6,1700,60
252197,7069,0AK7,2400,75
325125,7070,0AK8,150,150
253648,7071,0AK9,2000,30
265142,7072,0AL0,90,90
257351,7073,0AL1,2640,70
265143,7074,0AL2,24,21
265144,7075,0AL3,24,24
265145,7076,0AL4,30,30
251222,7077,0AL5,2200,100
265146,7078,0AL6,49,49
265147,7079,0AL7,30,30
265148,7080,0AL8,55,55
248305,7081,0AL9,2200,50
265149,7082,0AR0,60,60
254331,7084,0AR2,2800,60
249878,7085,0AR3,2000,50
265150,7086,0AR4,11,11
265151,7087,0AR5,42,42
265152,7088,0AR6,20,20
251481,7089,0AR7,2200,50
265153,7090,0AR8,30,30
265154,7091,0AR9,10,10
265155,7092,0AZ0,40,40
255109,7093,0AZ1,2000,40
255110,7093,0AZ1,3250,50
255111,7093,0AZ1,2500,75
240292,7094,0AZ2,1500,100
240293,7094,0AZ2,3500,100
248438,7095,0AZ4,2900,130
253973,7096,0AZ5,1400,60
265156,7097,0AZ6,40,45
265157,7097,0AZ6,40,45
265158,7097,0AZ6,40,45
265159,7098,0AZ7,50,50
255100,7099,0B2,1730,30
254852,7100,0B7,2575,30
257597,7101,0C1,2375,35
255168,7102,0C2,2640,100
248990,7103,0C5,3800,100
257174,7104,0C7,3980,200
